12S_elas_LA11_1_1,12S_elas_LA11_1_2,12S_elas_LA11_1_3,12S_elas_LA11_2_1,12S_elas_LA11_2_2,12S_elas_LA11_2_3,12S_elas_LA11_3_1,12S_elas_LA11_3_2,12S_elas_LA11_3_3,12S_elas_LA11_4_1,12S_elas_LA11_4_2,12S_elas_LA14_1_1,12S_elas_LA14_1_2,12S_elas_LA14_1_3,12S_elas_LA14_2_1,12S_elas_LA14_2_2,12S_elas_LA14_2_3,12S_elas_LA14_3_1,12S_elas_LA14_3_2,12S_elas_LA14_3_3,12S_elas_LA14_4_1,12S_elas_LA14_4_2,12S_elas_LA3_1_1,12S_elas_LA3_1_2,12S_elas_LA3_1_3,12S_elas_LA3_2_1,12S_elas_LA3_2_2,12S_elas_LA3_2_3,12S_elas_LA3_3_1,12S_elas_LA3_3_2,12S_elas_LA3_3_3,12S_elas_LA3_4_1,12S_elas_LA3_4_2,12S_elas_LA6_1_1,12S_elas_LA6_1_2,12S_elas_LA6_1_3,12S_elas_LA6_2_1,12S_elas_LA6_2_2,12S_elas_LA6_2_3,12S_elas_LA6_3_1,12S_elas_LA6_3_2,12S_elas_LA6_3_3,12S_elas_LA6_4_1,12S_elas_LA6_4_2,12S_elas_LB1_0_1,12S_elas_LB1_0_2,12S_elas_LB1_0_3,12S_elas_LB1_1_1,12S_elas_LB1_1_2,12S_elas_LB1_1_3,12S_elas_LB1_2_1,12S_elas_LB1_2_2,12S_elas_LB1_2_3,12S_elas_LB1_3_1,12S_elas_LB1_3_2,12S_elas_LB1_3_3,12S_elas_LB1_4_1,12S_elas_LB1_4_2,12S_elas_LB14_1_1,12S_elas_LB14_1_2,12S_elas_LB14_1_3,12S_elas_LB14_2_1,12S_elas_LB14_2_2,12S_elas_LB14_2_3,12S_elas_LB14_3_1,12S_elas_LB14_3_2,12S_elas_LB14_3_3,12S_elas_LB14_4_1,12S_elas_LB14_4_2,12S_elas_LB2_1_1,12S_elas_LB2_1_2,12S_elas_LB2_1_3,12S_elas_LB2_2_1,12S_elas_LB2_2_2,12S_elas_LB2_2_3,12S_elas_LB2_3_1,12S_elas_LB2_3_2,12S_elas_LB2_3_3,12S_elas_LB2_4_1,12S_elas_LB2_4_2,12S_miu_LA11_1_1,12S_miu_LA11_1_2,12S_miu_LA11_1_3,12S_miu_LA11_2_1,12S_miu_LA11_2_2,12S_miu_LA11_2_3,12S_miu_LA11_3_1,12S_miu_LA11_3_2,12S_miu_LA11_3_3,12S_miu_LA11_4_1,12S_miu_LA11_4_2,12S_miu_LA11_4_3,12S_miu_LA14_1_1,12S_miu_LA14_1_2,12S_miu_LA14_1_3,12S_miu_LA14_2_1,12S_miu_LA14_2_2,12S_miu_LA14_2_3,12S_miu_LA14_3_1,12S_miu_LA14_3_2,12S_miu_LA14_3_3,12S_miu_LA14_4_1,12S_miu_LA14_4_2,12S_miu_LA14_4_3,12S_miu_LA3_1_1,12S_miu_LA3_1_2,12S_miu_LA3_1_3,12S_miu_LA3_2_1,12S_miu_LA3_2_2,12S_miu_LA3_2_3,12S_miu_LA3_3_1,12S_miu_LA3_3_2,12S_miu_LA3_3_3,12S_miu_LA3_4_1,12S_miu_LA3_4_2,12S_miu_LA3_4_3,12S_miu_LA6_1_1,12S_miu_LA6_1_2,12S_miu_LA6_1_3,12S_miu_LA6_2_1,12S_miu_LA6_2_2,12S_miu_LA6_2_3,12S_miu_LA6_3_1,12S_miu_LA6_3_2,12S_miu_LA6_3_3,12S_miu_LA6_4_1,12S_miu_LA6_4_2,12S_miu_LA6_4_3,12S_miu_LB1_0_1,12S_miu_LB1_0_2,12S_miu_LB1_0_3,12S_miu_LB1_1_1,12S_miu_LB1_1_2,12S_miu_LB1_1_3,12S_miu_LB1_2_1,12S_miu_LB1_2_2,12S_miu_LB1_2_3,12S_miu_LB1_3_1,12S_miu_LB1_3_2,12S_miu_LB1_3_3,12S_miu_LB1_4_1,12S_miu_LB1_4_2,12S_miu_LB1_4_3,12S_miu_LB14_1_1,12S_miu_LB14_1_2,12S_miu_LB14_1_3,12S_miu_LB14_2_1,12S_miu_LB14_2_2,12S_miu_LB14_2_3,12S_miu_LB14_3_1,12S_miu_LB14_3_2,12S_miu_LB14_3_3,12S_miu_LB14_4_1,12S_miu_LB14_4_2,12S_miu_LB14_4_3,12S_miu_LB2_1_1,12S_miu_LB2_1_2,12S_miu_LB2_1_3,12S_miu_LB2_2_1,12S_miu_LB2_2_2,12S_miu_LB2_2_3,12S_miu_LB2_3_1,12S_miu_LB2_3_2,12S_miu_LB2_3_3,12S_miu_LB2_4_1,12S_miu_LB2_4_2,12S_miu_LB2_4_3,sum.taxonomy
3173,12242,3733,18520,4934,3390,6535,6264,8690,5853,13675,2088,9287,6060,5628,3012,6231,4751,7937,4069,11646,10044,2468,7607,3004,3598,6216,3559,707,992,304,261,766,5609,21340,6897,12958,11330,9433,8617,6849,8884,4735,6958,1801,4095,14,13747,27087,916,6746,10963,35641,11044,14226,12738,2188,14047,7934,25034,23143,12078,24190,19761,9007,32068,37457,30790,44273,2033,33832,1160,8459,1765,11537,2004,13350,22247,22124,9333,13820,31416,8438,8374,15259,36440,23274,17588,10287,31189,27319,11553,11875,4785,4996,4760,13787,12253,27002,30506,40873,13792,14184,40893,24790,52435,23086,33597,21710,30731,35035,28235,20178,13011,5498,10329,48268,106015,32348,82888,82692,78355,93631,29953,28546,37234,37102,35744,10433,11422,3999,17135,23820,47,43718,21610,19105,34531,38766,41383,10947,39654,22028,110200,89599,69837,123581,110070,85513,117163,126380,79964,108769,116063,155789,8691,6527,9363,7049,10958,6251,17162,10222,19927,15856,8366,7770,Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
34,387,81,23,191,3103,2881,3249,192,259,597,52,0,0,15,0,234,200,26,1498,736,27,691,2160,496,923,1828,492,438,1573,762,307,1516,62,13,115,549,496,16,440,62,98,959,3,213,11,0,1917,2790,0,0,266,0,161,0,326,8665,0,80,1682,206,127,354,225,364,2145,610,1052,2479,178,6527,551,2430,657,808,61,0,2318,0,367,344,796,1535,3513,1794,4214,5543,1874,1188,3245,6535,2455,34,413,79,977,1154,237,82,76,1105,1320,169,171,10144,3826,1330,4802,2399,9429,8102,6713,3312,12309,34227,14609,1023,269,73,431,3326,812,158,242,38,189,278,853,989,1883,472,0,27,0,0,0,0,639,0,641,0,0,558,1862,3407,717,2611,1378,1069,850,4367,4385,4862,2981,1503,2855,2292,373,2769,501,121,1675,194,3740,1614,1365,180,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;Scomber japonicus
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,562,0,9,60,8,260,295,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,20,1513,0,0,74,9,88,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,53,1654,816,0,587,1154,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Lepidogobius;Lepidogobius lepidus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Asterropteryx;Asterropteryx semipunctata
0,0,0,169,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3040,0,240,12,0,0,0,0,129,353,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,12,982,267,0,0,1428,0,0,7391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Scorpaena;Scorpaena pepo
0,0,0,0,0,0,0,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,559,210,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Carcharodon;Carcharodon carcharias
135,40,20,0,56,37,0,5,46,767,5591,0,0,0,0,0,0,0,0,2,0,0,104,0,0,57,0,0,0,0,0,0,0,0,73,7,0,0,106,5,0,0,15,0,0,788,0,0,0,0,0,26,1466,0,0,0,0,0,36,302,101,0,52,0,46,0,257,5,1198,0,470,0,0,0,0,0,22,760,0,0,60,15,20,0,38,24,20,465,0,0,0,291,11,0,0,0,0,0,0,203,21,0,0,0,0,0,14,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,23,8,49,3,6,16,0,12,0,0,0,0,0,0,64,0,0,0,0,0,0,0,276,5,0,34,21,22,26,4,21,75,832,0,86,21,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Rhombosoleidae;Colistium;Colistium nudipinnis
1521,5717,1437,2022,1441,2267,1026,806,1313,62,4938,411,1508,1160,17,89,29,0,70,2610,652,0,374,1013,2379,2244,718,1909,1327,587,172,151,427,349,741,436,625,105,960,3034,49,1055,407,491,0,2188,0,1260,0,6,0,0,0,49,403,6,388,0,16,32,0,145,0,36,44,39,425,20,4154,172,0,0,0,7,0,0,0,0,2,0,4339,8705,4612,1119,5291,3642,1811,4438,1729,6874,2497,473,32,1498,28,41,38,234,289,390,11618,77,552,614,12416,3718,6304,8082,8984,16939,4366,8416,16674,7552,15355,4131,1839,3675,1338,7356,359,2724,2054,1350,3467,13200,8158,16000,0,5,5592,2,0,0,0,0,53,0,25,0,4821,0,0,4717,116,21,1570,117,207,86,406,969,538,739,486,0,40,0,0,1489,0,4786,224,0,0,0,0,Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops melanostictus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3802,0,279,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Spariformes;Sparidae;Argyrops;Argyrops bleekeri
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Pomadasys;Pomadasys stridens
0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Aves;Charadriiformes;Laridae;Larus;
0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,93,4,4,14,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys myriaster
0,3091,943,26,0,0,0,0,1173,177,2221,29,0,0,0,0,0,0,0,0,0,2987,216,354,2233,99,1470,1758,368,4083,0,0,0,0,0,183,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;NA;Malacanthidae;Malacanthus;Malacanthus brevirostris
0,0,0,0,0,0,0,0,0,0,0,3917,7141,129,2022,24,8737,472,3801,8184,7551,1949,2,0,0,0,0,0,0,0,0,0,0,806,0,0,1232,0,78,25,729,3,0,5891,0,0,0,0,0,0,0,0,3,0,0,0,0,0,126,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,10,19,78,24,20,73,3055,47,490,556,592,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Tridentiger;Tridentiger trigonocephalus
0,0,159,4,6,17,0,88,0,128,7,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,512,0,2138,0,0,215,0,0,0,0,40,7,0,0,0,0,99,0,0,0,0,0,0,0,0,16,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;Synodus intermedius
95,0,0,0,0,0,46,53,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,2020,0,0,0,113,0,0,0,30,0,11,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis aquila
0,402,0,53,0,18,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,6,0,0,19,0,0,0,0,0,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,369,0,0,0,48,57,15,0,67,0,8,7,73,138,0,0,0,13,0,0,0,0,22,3054,0,34,0,0,6,0,102,325,242,0,10,70,0,0,0,0,1417,0,24,136,98,0,0,76,22,46,63,455,89,0,0,0,0,306,225,104,50,734,0,0,16,1073,0,0,0,0,0,95,0,0,56,0,0,1014,0,0,0,0,0,0,0,33,0,32,64,0,Eukaryota;Chordata;Actinopteri;Scombriformes;Stromateidae;Peprilus;Peprilus medius
0,0,0,0,311,0,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,408,14,5,0,0,52,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,179,0,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;NA;Opistognathidae;Opistognathus;Opistognathus jacksoniensis
0,0,0,0,0,169,0,13,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,74,0,22,170,27,796,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,32,34,0,0,57,0,0,0,0,0,0,0,39,0,0,76,0,367,0,0,0,0,0,0,0,0,0,0,0,0,2144,108,0,18,0,648,0,0,4558,163,0,2303,0,0,167,0,0,0,0,0,0,59,0,0,0,433,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,26,0,0,0,0,1036,0,0,0,0,Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
0,18,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,602,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,50,0,0,0,0,19,18,0,0,0,0,0,0,0,0,0,448,0,0,0,0,0,0,0,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Pristiformes/Rhiniformes group;Rhinobatidae;;
0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,70,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Isurus;Isurus oxyrinchus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Hippocampus;
0,0,124,351,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Scyliorhinidae;;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;NA;Opistognathidae;Opistognathus;Opistognathus evermanni
