fishcard_12S_all_elas_LA11_1_1,fishcard_12S_all_elas_LA11_1_2,fishcard_12S_all_elas_LA11_1_3,fishcard_12S_all_elas_LA11_2_1,fishcard_12S_all_elas_LA11_2_2,fishcard_12S_all_elas_LA11_2_3,fishcard_12S_all_elas_LA11_3_1,fishcard_12S_all_elas_LA11_3_2,fishcard_12S_all_elas_LA11_3_3,fishcard_12S_all_elas_LA11_4_1,fishcard_12S_all_elas_LA11_4_2,fishcard_12S_all_elas_LA11_4_3,fishcard_12S_all_elas_LA14_1_1,fishcard_12S_all_elas_LA14_1_2,fishcard_12S_all_elas_LA14_1_3,fishcard_12S_all_elas_LA14_2_1,fishcard_12S_all_elas_LA14_2_2,fishcard_12S_all_elas_LA14_2_3,fishcard_12S_all_elas_LA14_3_1,fishcard_12S_all_elas_LA14_3_2,fishcard_12S_all_elas_LA14_3_3,fishcard_12S_all_elas_LA14_4_1,fishcard_12S_all_elas_LA14_4_2,fishcard_12S_all_elas_LA14_4_3,fishcard_12S_all_elas_LA3_1_1,fishcard_12S_all_elas_LA3_1_2,fishcard_12S_all_elas_LA3_1_3,fishcard_12S_all_elas_LA3_2_1,fishcard_12S_all_elas_LA3_2_2,fishcard_12S_all_elas_LA3_2_3,fishcard_12S_all_elas_LA3_3_1,fishcard_12S_all_elas_LA3_3_2,fishcard_12S_all_elas_LA3_3_3,fishcard_12S_all_elas_LA3_4_1,fishcard_12S_all_elas_LA3_4_2,fishcard_12S_all_elas_LA3_4_3,fishcard_12S_all_elas_LA6_1_1,fishcard_12S_all_elas_LA6_1_2,fishcard_12S_all_elas_LA6_1_3,fishcard_12S_all_elas_LA6_2_1,fishcard_12S_all_elas_LA6_2_2,fishcard_12S_all_elas_LA6_2_3,fishcard_12S_all_elas_LA6_3_1,fishcard_12S_all_elas_LA6_3_2,fishcard_12S_all_elas_LA6_3_3,fishcard_12S_all_elas_LA6_4_1,fishcard_12S_all_elas_LA6_4_2,fishcard_12S_all_elas_LA6_4_3,fishcard_12S_all_elas_LB1_0_1,fishcard_12S_all_elas_LB1_0_2,fishcard_12S_all_elas_LB1_0_3,fishcard_12S_all_elas_LB1_1_1,fishcard_12S_all_elas_LB1_1_2,fishcard_12S_all_elas_LB1_1_3,fishcard_12S_all_elas_LB1_2_1,fishcard_12S_all_elas_LB1_2_2,fishcard_12S_all_elas_LB1_2_3,fishcard_12S_all_elas_LB1_3_1,fishcard_12S_all_elas_LB1_3_2,fishcard_12S_all_elas_LB1_3_3,fishcard_12S_all_elas_LB1_4_1,fishcard_12S_all_elas_LB1_4_2,fishcard_12S_all_elas_LB1_4_3,fishcard_12S_all_elas_LB14_1_1,fishcard_12S_all_elas_LB14_1_2,fishcard_12S_all_elas_LB14_1_3,fishcard_12S_all_elas_LB14_2_1,fishcard_12S_all_elas_LB14_2_2,fishcard_12S_all_elas_LB14_2_3,fishcard_12S_all_elas_LB14_3_1,fishcard_12S_all_elas_LB14_3_2,fishcard_12S_all_elas_LB14_3_3,fishcard_12S_all_elas_LB14_4_1,fishcard_12S_all_elas_LB14_4_2,fishcard_12S_all_elas_LB14_4_3,fishcard_12S_all_elas_LB2_1_1,fishcard_12S_all_elas_LB2_1_2,fishcard_12S_all_elas_LB2_1_3,fishcard_12S_all_elas_LB2_2_1,fishcard_12S_all_elas_LB2_2_2,fishcard_12S_all_elas_LB2_2_3,fishcard_12S_all_elas_LB2_3_1,fishcard_12S_all_elas_LB2_3_2,fishcard_12S_all_elas_LB2_3_3,fishcard_12S_all_elas_LB2_4_1,fishcard_12S_all_elas_LB2_4_2,fishcard_12S_all_elas_LB2_4_3,fishcard_12S_all_miu_LA11_1_1,fishcard_12S_all_miu_LA11_1_2,fishcard_12S_all_miu_LA11_1_3,fishcard_12S_all_miu_LA11_2_1,fishcard_12S_all_miu_LA11_2_2,fishcard_12S_all_miu_LA11_2_3,fishcard_12S_all_miu_LA11_3_1,fishcard_12S_all_miu_LA11_3_2,fishcard_12S_all_miu_LA11_3_3,fishcard_12S_all_miu_LA11_4_1,fishcard_12S_all_miu_LA11_4_2,fishcard_12S_all_miu_LA11_4_3,fishcard_12S_all_miu_LA14_1_1,fishcard_12S_all_miu_LA14_1_2,fishcard_12S_all_miu_LA14_1_3,fishcard_12S_all_miu_LA14_2_1,fishcard_12S_all_miu_LA14_2_2,fishcard_12S_all_miu_LA14_2_3,fishcard_12S_all_miu_LA14_3_1,fishcard_12S_all_miu_LA14_3_2,fishcard_12S_all_miu_LA14_3_3,fishcard_12S_all_miu_LA14_4_1,fishcard_12S_all_miu_LA14_4_2,fishcard_12S_all_miu_LA14_4_3,fishcard_12S_all_miu_LA3_1_1,fishcard_12S_all_miu_LA3_1_2,fishcard_12S_all_miu_LA3_1_3,fishcard_12S_all_miu_LA3_2_1,fishcard_12S_all_miu_LA3_2_2,fishcard_12S_all_miu_LA3_2_3,fishcard_12S_all_miu_LA3_3_1,fishcard_12S_all_miu_LA3_3_2,fishcard_12S_all_miu_LA3_3_3,fishcard_12S_all_miu_LA3_4_1,fishcard_12S_all_miu_LA3_4_2,fishcard_12S_all_miu_LA3_4_3,fishcard_12S_all_miu_LA6_1_1,fishcard_12S_all_miu_LA6_1_2,fishcard_12S_all_miu_LA6_1_3,fishcard_12S_all_miu_LA6_2_1,fishcard_12S_all_miu_LA6_2_2,fishcard_12S_all_miu_LA6_2_3,fishcard_12S_all_miu_LA6_3_1,fishcard_12S_all_miu_LA6_3_2,fishcard_12S_all_miu_LA6_3_3,fishcard_12S_all_miu_LA6_4_1,fishcard_12S_all_miu_LA6_4_2,fishcard_12S_all_miu_LA6_4_3,fishcard_12S_all_miu_LB1_0_1,fishcard_12S_all_miu_LB1_0_2,fishcard_12S_all_miu_LB1_0_3,fishcard_12S_all_miu_LB1_1_1,fishcard_12S_all_miu_LB1_1_2,fishcard_12S_all_miu_LB1_1_3,fishcard_12S_all_miu_LB1_2_1,fishcard_12S_all_miu_LB1_2_2,fishcard_12S_all_miu_LB1_2_3,fishcard_12S_all_miu_LB1_3_1,fishcard_12S_all_miu_LB1_3_2,fishcard_12S_all_miu_LB1_3_3,fishcard_12S_all_miu_LB1_4_1,fishcard_12S_all_miu_LB1_4_2,fishcard_12S_all_miu_LB1_4_3,fishcard_12S_all_miu_LB14_1_1,fishcard_12S_all_miu_LB14_1_2,fishcard_12S_all_miu_LB14_1_3,fishcard_12S_all_miu_LB14_2_1,fishcard_12S_all_miu_LB14_2_2,fishcard_12S_all_miu_LB14_2_3,fishcard_12S_all_miu_LB14_3_1,fishcard_12S_all_miu_LB14_3_2,fishcard_12S_all_miu_LB14_3_3,fishcard_12S_all_miu_LB14_4_1,fishcard_12S_all_miu_LB14_4_2,fishcard_12S_all_miu_LB14_4_3,fishcard_12S_all_miu_LB2_1_1,fishcard_12S_all_miu_LB2_1_2,fishcard_12S_all_miu_LB2_1_3,fishcard_12S_all_miu_LB2_2_1,fishcard_12S_all_miu_LB2_2_2,fishcard_12S_all_miu_LB2_2_3,fishcard_12S_all_miu_LB2_3_1,fishcard_12S_all_miu_LB2_3_2,fishcard_12S_all_miu_LB2_3_3,fishcard_12S_all_miu_LB2_4_1,fishcard_12S_all_miu_LB2_4_2,fishcard_12S_all_miu_LB2_4_3,sum.taxonomy
3173,12239,3731,18515,4934,3389,6534,6264,8689,5853,13670,4432,2088,9288,6063,5627,3011,6231,4752,7937,4068,11644,10042,3103,2468,7605,3004,3596,6216,3559,707,991,304,261,766,7314,5608,21340,6895,12958,11329,9433,8616,6849,8883,4735,6956,17527,1801,4095,14,13745,27078,916,6745,10962,35643,11043,14231,12737,2188,14047,17366,7934,25035,23140,12078,24188,19760,9006,32063,37454,30790,44266,27609,2033,33829,1160,8459,1765,11536,2003,13348,22249,22123,9333,1771,13820,31413,8437,8370,15259,36445,23273,17585,10284,31185,27317,11553,11874,4785,4996,4760,13785,12253,27001,30505,40873,13792,14181,40890,24789,52433,23084,33596,21706,30728,35034,28233,20178,13012,5496,10329,48274,106002,32344,82884,82687,78349,93625,29950,28537,37229,37101,35741,10431,11423,3999,17134,23820,47,43732,21606,19102,34524,38752,41382,10945,39654,22024,110195,89589,69830,123567,110062,85508,117147,126370,79959,108760,116053,155779,8691,6526,9362,7047,10957,6250,17156,10222,19928,15855,8366,7770,Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
0,0,0,0,0,0,0,0,0,0,0,0,3917,7142,129,2022,24,8736,472,3801,8183,7551,1948,15081,2,0,0,0,0,0,0,0,0,0,0,0,806,0,0,1232,0,78,25,729,3,0,5891,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,126,0,0,0,0,0,0,4,0,0,2,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,10,19,78,24,20,73,3055,47,490,556,592,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Tridentiger;Tridentiger trigonocephalus
0,0,0,0,0,0,7,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,16,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,31,0,0,0,0,0,93,4,4,14,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys myriaster
0,0,0,0,311,0,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,16,12,408,14,5,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,146,0,179,0,0,0,535,0,0,0,138,0,0,0,99,0,207,0,0,121,33,0,0,0,1325,0,0,0,0,0,0,0,167,11,70,64,0,129,90,440,59,0,291,0,0,0,0,0,0,2681,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,5,0,0,0,0,59,0,0,0,0,31,111,0,Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus
0,402,0,53,0,18,0,0,0,0,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,6,0,0,19,0,0,0,0,0,0,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,369,0,0,1194,0,48,57,15,0,67,0,8,7,73,138,0,0,0,13,0,0,0,0,22,3054,0,34,0,0,6,0,102,325,242,0,10,70,0,0,0,0,1417,0,24,136,98,0,0,76,22,46,63,455,89,0,0,0,0,306,225,104,50,734,0,0,16,1073,0,0,0,0,0,95,0,0,56,0,0,1014,0,0,0,0,0,0,0,33,0,32,64,0,Eukaryota;Chordata;Actinopteri;Scombriformes;Stromateidae;Peprilus;Peprilus simillimus
0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,64,0,0,0,0,0,0,0,2038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Ruscarius;Ruscarius creaseri
0,0,0,0,0,169,0,13,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,22,170,27,796,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,32,34,0,0,57,0,0,0,0,0,0,0,0,39,0,0,76,0,367,0,0,0,0,0,0,0,0,0,0,0,0,2144,108,0,18,0,648,0,0,4558,163,0,2303,0,0,167,0,0,0,0,0,0,59,0,0,0,433,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,26,0,0,0,0,1036,0,0,0,0,Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,33,115,0,0,0,0,6,14,13,440,22,18,6,0,9,0,0,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,32,104,41,0,14,0,0,0,0,0,0,0,0,0,26,0,0,2,1293,84,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,8,40,163,112,1775,847,487,229,24,0,0,270,0,137,83,0,10,0,0,41,6,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,10,65,0,9,0,0,23,0,5,0,0,0,66,8,0,46,39,24,0,39,0,0,31,52,Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;
0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,70,306,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Isurus;Isurus oxyrinchus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Cosmocampus;Cosmocampus arctus
34,387,81,23,190,3103,2881,3249,192,259,596,1863,52,0,0,15,0,234,200,26,1498,736,27,37,691,2160,496,923,1828,492,438,1573,762,307,1516,1060,62,13,115,549,496,16,440,62,98,959,3,103,213,11,0,1917,2789,0,0,266,0,161,0,326,8664,0,0,80,1682,206,127,354,224,364,2145,610,1052,2479,45,178,6527,551,2430,657,808,61,0,2318,0,367,4,344,796,1535,3513,1794,4214,5543,1874,1188,3245,6535,2455,34,413,79,977,1154,237,82,76,1105,1320,169,171,10144,3826,1330,4802,2399,9429,8101,6713,3312,12309,34227,14609,1023,269,73,431,3326,812,158,242,38,189,278,853,989,1880,472,0,27,0,0,0,0,639,0,641,0,0,558,1862,3407,717,2611,1378,1069,850,4367,4384,4862,2981,1503,2855,2292,373,2769,501,121,1675,194,3740,1614,1365,180,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;Scomber japonicus
0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,13,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;;
0,0,0,34,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;
0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Aves;Pelecaniformes;Pelecanidae;Pelecanus;Pelecanus occidentalis
8,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas platyrhynchos
0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,1248,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Ophidiiformes;Ophidiidae;Ophidion;Ophidion scrippsae
0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,200,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1673,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys sordidus
0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;;Embiotocidae;;
